id_map,id_layer_click,name_layer,name_folder,name_folder_vector,inscription,name_layer_ru,name_layer_ru_style,Click_trigger
1,1,mount_polygon,,,,,,
1,2,холм,,,,Холмы,,
1,3,возвышенность,,,,Возвышенности,,
1,4,гора,,,,Горы,,1
1,5,,,,2,,,
2,1,mount_polygon,,,,,,
2,2,холм,,,,Холмы,,
2,3,возвышенность,,,,Возвышенности,,
2,4,гора,,,,Горы,,1
2,5,,,,2,,,
3,1,mask_stage,,,,Сцена амфитеатра,,
3,2,,,,3,,,
4,1,mask_parter,,,,Партер амфитеатра,,
4,2,,,,4,,,
5,1,mask_belletazh,,,,Бельэтаж амфитеатра,,
5,2,,,,5,,,
6,1,mask_balcon,,,,Балкон амфитеатра,,
6,2,,,,6,,,
7,1,vomitoria,,,,Вомитории Амфитеатра,,
7,2,mask_amphitheater,,,,,,
7,3,,,,7,,,
8,1,landscape_450,,,,,name,
8,2,,,,8,,,
9,1,landscape_450,,,,,name,
9,2,"landscape_2,5",,,,,name,
9,3,,,,9,,,
10,1,landscape_450,,,,,name,
10,2,"landscape_2,5",,,,,name,
10,3,landscape_12,,,,,name,
10,4,,,,10,,,
11,1,landscape_450,,,,,name,
11,2,"landscape_2,5",,,,,name,
11,3,landscape_12,,,,,name,
11,4,landscape_7,,,,,name,
11,5,,,,11,,,
12,1,historical_resettlement,,,,Историческое расселение,,
12,2,finns_0_1_count_1_10,,,,"Доля финнов менее 1% населения, численность 1–10 человек",,
12,3,finns_1_5_count_1_10,,,,"Доля финнов 1–5% населения, численность 1–10 человек",,
12,4,finns_5_plus_count_1_10,,,,"Доля финнов более 5% населения, численность 1–10 человек",,
12,5,finns_0_1_count_10_100,,,,"Доля финнов менее 1% населения, численность 10–100 человек",,
12,6,finns_1_5_count_10_100,,,,"Доля финнов 1–5% населения, численность 10–100 человек",,
12,7,finns_5_plus_count_10_100,,,,"Доля финнов более 5% населения, численность 10–100 человек",,
12,8,finns_0_1_count_100_plus,,,,"Доля финнов менее 1% населения, численность более 100 человек",,
12,9,finns_1_5_count_100_plus,,,,"Доля финнов 1–5% населения, численность более 100 человек",,
12,10,finns_5_plus_count_100_plus,,,,Доля финнов более 100 человек и доля более 5% населения,,
12,11,,,,12,,,
13,1,maki_selki,,,,Маки и сельки,,
13,2,finns_0_1_count_1_10,,,,"Доля финнов менее 1% населения, численность 1–10 человек",,
13,3,finns_1_5_count_1_10,,,,"Доля финнов 1–5% населения, численность 1–10 человек",,
13,4,finns_5_plus_count_1_10,,,,"Доля финнов более 5% населения, численность 1–10 человек",,
13,5,finns_0_1_count_10_100,,,,"Доля финнов менее 1% населения, численность 10–100 человек",,
13,6,finns_1_5_count_10_100,,,,"Доля финнов 1–5% населения, численность 10–100 человек",,
13,7,finns_5_plus_count_10_100,,,,"Доля финнов более 5% населения, численность 10–100 человек",,
13,8,finns_0_1_count_100_plus,,,,"Доля финнов менее 1% населения, численность более 100 человек",,
13,9,finns_1_5_count_100_plus,,,,"Доля финнов 1–5% населения, численность более 100 человек",,
13,10,finns_5_plus_count_100_plus,,,,Доля финнов более 100 человек и доля более 5% населения,,
13,11,,,,13,,,
14,1,maki_selki,,,,Маки и сельки,,
14,2,,,,14,,,
15,1,Дача,,,,Дача,,
15,2,Дом,,,,Дом,,
15,3,Вилла,,,,Вилла,,1
15,4,Особняк,,,,Особняк,,1
15,5,Мыза,,,,Мыза,,1
15,6,Усадьба,,,,Усадьба,,1
15,7,Дворец,,,,Дворец,,1
15,8,,,,15,,,
16,1,Дача,,,,Дача,,
16,2,Дом,,,,Дом,,
16,3,Вилла,,,,Вилла,,1
16,4,Особняк,,,,Особняк,,1
16,5,Мыза,,,,Мыза,,1
16,6,Усадьба,,,,Усадьба,,1
16,7,Дворец,,,,Дворец,,1
16,8,,,,16,,,
17,1,Дача,,,,Дача,,
17,2,Дом,,,,Дом,,
17,3,Вилла,,,,Вилла,,1
17,4,Особняк,,,,Особняк,,1
17,5,Мыза,,,,Мыза,,1
17,6,Усадьба,,,,Усадьба,,1
17,7,Дворец,,,,Дворец,,1
17,8,,,,17,,,
18,1,Дача,,,,Дача,,
18,2,Дом,,,,Дом,,
18,3,Вилла,,,,Вилла,,1
18,4,Особняк,,,,Особняк,,1
18,5,Мыза,,,,Мыза,,1
18,6,Усадьба,,,,Усадьба,,1
18,7,Дворец,,,,Дворец,,1
18,8,,,,18,,,
19,1,Дача,,,,Дача,,
19,2,Дом,,,,Дом,,
19,3,Вилла,,,,Вилла,,1
19,4,Особняк,,,,Особняк,,1
19,5,Мыза,,,,Мыза,,1
19,6,Усадьба,,,,Усадьба,,1
19,7,Дворец,,,,Дворец,,1
19,8,,,,19,,,
20,1,Дача,,,,Дача,,
20,2,Дом,,,,Дом,,
20,3,Вилла,,,,Вилла,,1
20,4,Особняк,,,,Особняк,,1
20,5,Мыза,,,,Мыза,,1
20,6,Усадьба,,,,Усадьба,,1
20,7,Дворец,,,,Дворец,,1
20,8,,,,20,,,
21,1,,21,,,Горная живопись,,1
22,1,walking_routes,,,,Пешеходные маршруты,,
22,2,paragliding_clubs,,,,Клубы парапланеризма,,
22,3,horse_riding_clubs,,,,Клубы верховой езды,,
22,4,ski_resorts,,,,Горнолыжные курорты,,
22,5,golf_clubs,,,,Гольф-клубы,,
22,6,motocross,,,,Мотокросс,,
23,1,routes,,,,,name,1
23,2,23_1,,,,,,
23,3,,,23_2,,,,
23,4,,,,23,,,
23,5,,1,,,Фотографии со смотровых точек,,
