Chapter,Subtitle,id_layer_base,line,Description,Media_Link,Media Link_type,name_Media Link,fact,Zoom,Zoom_view,id _map,Описание что на картах,name_vector_style
Горный Петербург,Как работает метафора Амфитеатра?,1,1,"Петербург принято считать плоским городом. Но если взглянуть на него вместе с окружающим ландшафтом, открывается неожиданная картина.",,left,,,amphitheater_bound,,2,рельеф и горы,
,,1,,"Город расположен на Принёвской низине, а с трёх сторон его окружают возвышенности: на севере — холмы Карельского перешейка, на юге — Ижорская возвышенность, на западе — Балтийско-Ладожский глинт, высокий уступ вдоль Финского залива.",,,,,,,2,рельеф и горы,
,,1,,"Всего вокруг Петербурга находится более двухсот гор, возвышенностей и холмов, многие из которых служат естественными смотровыми площадками.",,,,,,,2,рельеф и горы,
,,1,0,С этих высот открываются панорамные виды на Петербург.,,,,,,,,,
,,1,,"Именно поэтому градостроитель Валентин Назаров предложил необычную метафору: город напоминает гигантский амфитеатр. Петербург находится внизу, словно сцена, а окружающие возвышенности образуют естественные ряды для зрителей.",Nazarov.png,,,,,,2,рельеф и горы,
,Составляющие амфитеатра,1,1,"Если смотреть на Петербург и его окрестности сверху, рельеф действительно напоминает огромный амфитеатр.",,,,,,,,,
,,1,,У этого природно-градостроительного комплекса есть две ключевые части: внутренняя и внешняя границы амфитеатра.,,,,,,,,,
,,1,,"Внутри — плотное городское ядро, где формируется «сцена» амфитеатра.",,,,,,,2,рельеф и горы,
,,1,,"Снаружи — окружающий ландшафт, который задаёт общий рельеф и создает природные «ряды кресел» вокруг города.",amphitheater.png,right,Схема амфитеатра Горного Петербурга,,,,,,
,,1,1,В центре находится низменная часть города — своеобразная «сцена». Именно здесь расположен исторический Петербург и большая часть городской застройки.,,,,,,,,,
,,1,,"Вокруг сцены рельеф постепенно поднимается несколькими ступенями, словно ряды зрительских мест. Каждая следующая ступень находится немного выше предыдущей и открывает всё более широкий обзор на город.",,,,,,,3,сцена и маска сцены,
,,1,1,"Партер — первый и нижний ярус природного амфитеатра образует древняя береговая линия Литоринового моря, существовавшего несколько тысяч лет назад. Его следы до сих пор хорошо заметны в рельефе Петербурга и окрестностей.",,,,,,,4,партер и маска партера,
,,1,,"Места в Партере есть у жителей Петергофа, Ломоносова, Комарово и Зеленогорска. Это — самые лучшие места: с них вы можете увидеть как Финский залив так и в подробностях рассмотреть иконические городские доминанты: купола и шпили соборов. ",,,,,,,4,,
,,1,1,"Бельэтаж — второй ярус амфитеатра. Его образуют холмы, оставленные древним ледником. К ним относятся Пулковские высоты на юге города, холмы Юкков и Парголова на севере, а также возвышенности в районе Колтушей и Всеволожска.",,,,,,,5,подсвеченные вомитории,
,,1,,"Места в Бельэтаже есть у жителей, например, Колтушей, Пеников и Юкков. Отсюда открывается удивительный скайлайн города, где одновременно видны Лахта-центр, телебашня и Исакиеевский собор.",,,,,,,5,подсвеченные сектора,
,,1,1,"Балкон — верхний ряд природного амфитеатра. Это самые высокие точки вокруг Петербурга, откуда открываются наиболее широкие панорамы. К ним относятся Ижорская и Лемболовская возвышенности, а также Угловские высоты.",,,,,,,6,подсвеченный балкон,
,,1,1,Амфитеатр состоит не только из рядов зрителей. Между ними должны быть проходы. В природном ландшафте такую роль играют речные долины — вомитории.,,,,,,,,,
