Chapter;Subtitle;id_layer_base;Description;Media Link;Link;Zoom;id _map;Описание что на картах
Как устроен амфитеатр;Как работает метафора Амфитеатра?;1;"Петербург принято считать плоским городом. Но если взглянуть на него вместе с окружающим ландшафтом, открывается неожиданная картина.

Город расположен на Принёвской низине, а с трёх сторон его окружают возвышенности: на севере — холмы Карельского перешейка, на юге — Ижорская возвышенность, на западе — Балтийско-Ладожский глинт, высокий уступ вдоль Финского залива.

Всего вокруг Петербурга находится более ста гор и холмов, многие из которых служат естественными смотровыми площадками. С этих высот открываются панорамные виды на Петербург.

Именно поэтому градостроитель Валентин Назаров предложил необычную метафору: город напоминает гигантский амфитеатр. Петербург находится внизу, словно сцена, а окружающие возвышенности образуют естественные ряды для зрителей.

Это сравнение помогает увидеть связь между геологией, рельефом и историей города. Ландшафт, сформированный ледниками и древним морем тысячи лет назад, до сих пор определяет облик Петербурга.";amphitheater.png;;amphitheater_bound;2;рельеф и горы
Как устроен амфитеатр;Составляющие амфитеатра;1;"Если смотреть на Петербург и его окрестности сверху, рельеф действительно напоминает огромный амфитеатр.

Границы в исследовании — это всегда условность. Мы используем их как инструмент, чтобы лучше понять, как устроен город и его окружение.

В нашем случае Петербург рассматривается как природно-градостроительный «амфитеатр», и у него есть две ключевые части: внутренняя «сцена» и внешняя граница всего амфитеатра.

Внутри — плотное городское ядро, где формируется «сцена» амфитеатра. Снаружи — окружающий ландшафт, который задаёт общий рельеф и создает природные «ряды» вокруг города.";;;amphitheater_bound;2;рельеф и горы
Как устроен амфитеатр;;1;"В центре находится низменная часть города — своеобразная «сцена». Именно здесь расположен исторический Петербург и большая часть городской застройки.

Вокруг сцены рельеф постепенно поднимается несколькими ступенями, словно ряды зрительских мест. Каждая следующая ступень находится немного выше предыдущей и открывает всё более широкий обзор на город.";;;amphitheater_bound;3;сцена и маска сцены
Как устроен амфитеатр;;1;Партер — первый и нижний ярус природного амфитеатра образует древняя береговая линия Литоринового моря, существовавшего несколько тысяч лет назад. Его следы до сих пор хорошо заметны в рельефе Петербурга и окрестностей.;;Партер;amphitheater_bound;4;партер и маска партера
Как устроен амфитеатр;;1;Места в Партере есть у жителей города Петергоф, Ломоносов и пр. Самые лучшие места - с них вы можете увидеть, как Финский залив...;;;amphitheater_bound;4;
Как устроен амфитеатр;;1;Бельэтаж — второй ярус амфитеатра. Его образуют холмы, оставленные древним ледником. К ним относятся Пулковские высоты на юге города, холмы Юкков и Парголова на севере, а также возвышенности в районе Колтушей и Всеволожска.;;Бельэтаж;amphitheater_bound;5;подсвеченные вомитории
Как устроен амфитеатр;;1;Места в Бельэтаже есть у жителей города Петергоф, Ломоносов и пр. Самые лучшие места - открывается удивительный скайлайн города откуда видно исаакий, лахту и пр.;;;amphitheater_bound;5;подсвеченные сектора
Как устроен амфитеатр;;1;Балкон — верхний ряд природного амфитеатра. Это самые высокие точки вокруг Петербурга, откуда открываются наиболее широкие панорамы. К ним относятся Ижорская и Лемболовская возвышенности, а также Угловские высоты.;landscape_450.png;Балкон;amphitheater_bound;6;подсвеченный балкон
Как устроен амфитеатр;;1;"Амфитеатр состоит не только из рядов зрителей. Между ними должны быть проходы. В природном ландшафте такую роль играют речные долины — вомитории.

Вомитории — проходы, по которым зрители попадают к своим местам в амфитеатре. В окрестностях Петербурга их роль выполняют долины рек — Тосны, Ижоры, Дудергофки, Сестры и многих других, которые прорезают возвышенности и соединяют разные уровни рельефа.

Поэтому сравнение Петербурга с амфитеатром — не просто красивый образ. Оно довольно точно описывает устройство окружающего ландшафта: низменный центр, несколько ярусов возвышенностей и сеть речных долин, соединяющих их в единую систему.";landscape_25.png;Амфитеатр;amphitheater_bound;7;Маска и вомитории
Горы Петербурга — геологическая летопись;;1;"В окрестностях Петербурга известно около 101 именной горы, холма и возвышенности. Но важно понимать: это не полный список. Многие названия были забыты или утрачены, и часть из них мы до сих пор заново находим и возвращаем на карту.
И тогда возникает простой вопрос: откуда вообще взялись эти горы вокруг города?

В следующий раз, проходя мимо холма или возвышенности, попробуйте представить: как давно она здесь появилась и какие процессы её сформировали. Это не случайные неровности рельефа — у каждой из них своя история.

Их происхождение связано с разными этапами истории Земли.";;;amphitheater_bound;2;
Горы Петербурга — геологическая летопись;;1;450 млн лет назад — древнее море. Конец Ордовикского, начало Силурийского периода.;;;amphitheater_bound;8;landscape_450.png
Горы Петербурга — геологическая летопись;;1;Территория будущего Петербурга была дном мелководного моря. На его дне накапливались осадки — известняки и песчаники. Эти слои стали фундаментом будущих возвышенностей и уступов.;Map 1735.png;;amphitheater_bound;8;
Горы Петербурга — геологическая летопись;;1;2,5 млн лет назад — ледники. Силурийский период.;Pietarin Valot.jpg;;amphitheater_bound;9;landscape_2,5.png
Горы Петербурга — геологическая летопись;;1;Территорию многократно покрывали ледники. Они сглаживали старый рельеф и одновременно формировали новые холмы и гряды, которые сегодня окружают Петербург с севера и востока.Эти поднятия стали основой современных высоких уступов — Ордовикского и Силурийского плато, включая Дудергофские высоты, Путиловское плато и Балтийско-Ладожский глинт.;Mariental.jpg;;amphitheater_bound;9;
Горы Петербурга — геологическая летопись;;1;12 тыс. лет назад — конец ледникового периода. Девонский период.;;;amphitheater_bound;10;landscape_12.png
Горы Петербурга — геологическая летопись;;1;"На месте древнего Литоринового моря сформировалась низменная терраса — литориновый уступ. Он стал нижним ярусом будущего «амфитеатра» Петербурга. 
В это же время ледники ещё отступали и оставляли после себя отложения: моренные холмы, камовые гряды и возвышенности. Из них позже сформировались средние и верхние ярусы рельефа — будущие «бельэтаж» и «балкон».";;;amphitheater_bound;10;
